dataset,threads,seqlen,batch_size,throughput (MiB/s)
tcga-atac,4,16384,512,1047.4520131139834
tcga-atac,4,16384,512,954.9191677797498
tcga-atac,4,16384,1024,983.0536365661146
tcga-atac,4,16384,1024,1021.1528870967113
tcga-atac,4,16384,1024,873.6173592396393
tcga-atac,4,16384,1024,837.9952725242453
tcga-atac,4,16384,1024,808.2876332351999
tcga-atac,4,16384,2048,905.4621189364678
tcga-atac,4,16384,2048,800.4314000626454
tcga-atac,4,16384,2048,867.362414846353
tcga-atac,4,16384,2048,1006.4062137745792
tcga-atac,4,16384,2048,1140.5537016762057
tcga-atac,4,16384,4096,811.1620221115787
tcga-atac,4,16384,4096,790.4123971018631
tcga-atac,4,16384,4096,682.779489807284
tcga-atac,4,16384,4096,852.6788090515728
tcga-atac,4,16384,4096,988.3195589099098
tcga-atac,4,16384,8192,871.4840379438365
tcga-atac,4,16384,8192,769.1648787598903
tcga-atac,4,16384,8192,915.1478538070468
tcga-atac,4,16384,8192,743.7205993647145
tcga-atac,4,16384,8192,599.7627372954462
tcga-atac,1,1048576,2048,658.8101885572534
tcga-atac,1,1048576,2048,1271.71860882713
tcga-atac,1,1048576,2048,1612.7601397100632
tcga-atac,1,1048576,2048,451.74626847886503
tcga-atac,1,1048576,2048,970.6298041107417
tcga-atac,2,1048576,1024,537.829868610465
tcga-atac,2,1048576,1024,616.2058513388624
tcga-atac,2,1048576,1024,297.49981466935003
tcga-atac,2,1048576,1024,603.5930782266797
tcga-atac,2,1048576,1024,616.985809403072
tcga-atac,4,16384,16384,798.781475919443
tcga-atac,4,16384,16384,811.4830955428998
