dataset_norm,mode,dl_mode,threads,seqlen,batch_size,v027,v061,ratio
1kgp,haps,none,16,131072,8,1037.5648426097728,5543.15887058477,0.18717934427528252
1kgp,haps,none,32,131072,8,195.97946650785417,6267.680679565939,0.03126825958871703
1kgp,haps,none,1,131072,32,1541.27782540052,1989.1525281911963,0.7748414480824435
1kgp,haps,none,4,131072,32,2408.3127071188615,6489.685617818658,0.37109851677658834
1kgp,haps,none,16,131072,32,3679.7078904138,14949.16604754778,0.24614803787114328
1kgp,haps,none,32,131072,32,567.9759886553363,16603.593712279813,0.03420801535484865
1kgp,haps,none,1,131072,128,1145.021455767621,1712.7157431685498,0.6685414438062642
1kgp,haps,none,4,131072,128,3618.838408990981,4876.26901074037,0.7421326430146086
1kgp,haps,none,16,131072,128,5925.601149487924,12691.1827543272,0.466906927761916
1kgp,haps,none,32,131072,128,2056.1436819229575,17806.38186891554,0.11547228948921685
1kgp,haps,none,1,131072,512,1288.6477309050802,1744.3703944988151,0.7387466188196394
1kgp,haps,none,4,131072,512,2790.6960235272068,6775.978929742973,0.4118513431730909
1kgp,haps,none,16,131072,512,4015.4724057253898,19936.62951782841,0.20141179842533252
1kgp,haps,none,32,131072,512,10914.485424519038,23792.77098166961,0.45873115968408046
1kgp,haps,none,1,131072,2048,1308.3271049765633,1918.7755788791774,0.6818551994187887
1kgp,haps,none,4,131072,2048,4596.698362505933,6005.5585801414745,0.7654072974503643
1kgp,haps,none,16,131072,2048,10056.365061953375,17691.175958018535,0.5684396043438437
1kgp,haps,none,32,131072,2048,11026.651934600239,35977.98260329309,0.3064833305464705
1kgp,haps,none,1,131072,8192,1330.948594491363,1292.8666947513343,1.0294553954360726
1kgp,haps,none,4,131072,8192,4713.917810756692,6671.764790345149,0.7065473617382768
1kgp,haps,none,16,131072,8192,10657.842500417486,24638.002697143715,0.43257737371921995
1kgp,haps,none,32,131072,8192,15169.72318503197,42274.834248827574,0.35883578148985124
1kgp,haps,none,1,131072,32768,1394.4611904615815,1187.5852092112395,1.1741988529713527
1kgp,haps,none,4,131072,32768,4846.088939933124,6591.982695870496,0.7351489170274861
1kgp,haps,none,16,131072,32768,10957.008820577883,24608.057792949003,0.44526101623986825
1kgp,haps,none,32,131072,32768,13072.311043426838,45798.935643304474,0.28542827163578266
1kgp,haps,none,1,131072,65536,1522.66873554954,2446.7482367449616,0.622323422035128
1kgp,haps,none,4,131072,65536,4924.128470267868,6611.194333032177,0.7448167792716284
1kgp,haps,none,16,131072,65536,11049.257179689937,25916.98670288138,0.42633263297007873
1kgp,haps,none,32,131072,65536,11662.151677765489,45923.86512763729,0.25394534291381166
1kgp,haps,none,1,1048576,2,1240.5392677501331,2033.4912566188939,0.6100538980495988
1kgp,haps,none,4,1048576,2,1347.1113780215853,3997.6522107756555,0.33697563144448933
1kgp,haps,none,16,1048576,2,1282.5947067273867,5177.372548071415,0.24773081226406174
1kgp,haps,none,32,1048576,2,1218.0278875501951,5429.216832201061,0.224346885599777
1kgp,haps,none,1,1048576,8,1768.2904543476404,2197.1594169602126,0.8048075349917414
1kgp,haps,none,4,1048576,8,3365.248530998359,6982.040215609384,0.48198641472657916
1kgp,haps,none,16,1048576,8,1199.463358219371,13545.1504323641,0.08855297430683631
1kgp,haps,none,32,1048576,8,1459.330071329688,13638.93845660178,0.10699733531118877
1kgp,haps,none,1,1048576,32,1258.3485512505943,1688.9599071417795,0.7450434707950485
1kgp,haps,none,4,1048576,32,4351.273647329143,6385.277046418983,0.6814541664671295
1kgp,haps,none,16,1048576,32,2424.8997879377775,17342.5620215283,0.13982361919349703
1kgp,haps,none,32,1048576,32,4422.3298393501445,18991.609925377677,0.2328570277468038
1kgp,haps,none,1,1048576,128,1338.3709833236785,1269.3750782747045,1.0543542300694537
1kgp,haps,none,4,1048576,128,4738.413995197444,5678.4819208333565,0.8344508376108467
1kgp,haps,none,16,1048576,128,9876.500038292657,21069.926646156702,0.46874866743279325
1kgp,haps,none,32,1048576,128,9135.901100387528,33272.68361040465,0.27457662289466345
1kgp,haps,none,1,1048576,512,1329.8816335189717,1475.0900885859721,0.9015596022299913
